Record Length,15000,,Source,CH1,CH2
Sample Interval,40000.0000000000000,,Second,Volt,Volt
,,,-294760000.00000000000,0.08000,1.12000
,,,-294720000.00000000000,0.24000,1.08000
,,,-294680000.00000000000,0.08000,1.08000
,,,-294640000.00000000000,0.08000,1.12000
,,,-294600000.00000000000,0.12000,1.12000
,,,-294560000.00000000000,0.12000,1.08000
,,,-294520000.00000000000,0.24000,1.08000
,,,-294480000.00000000000,0.12000,1.12000
,,,-294440000.00000000000,0.08000,1.12000
,,,-294400000.00000000000,0.16000,1.08000
,,,-294360000.00000000000,0.08000,1.08000
,,,-294320000.00000000000,0.28000,1.08000
,,,-294280000.00000000000,0.12000,1.08000
,,,-294240000.00000000000,0.12000,1.08000
,,,-294200000.00000000000,0.12000,1.08000
,,,-294160000.00000000000,0.08000,1.08000
,,,-294120000.00000000000,0.24000,1.04000
,,,-294080000.00000000000,0.12000,1.12000
,,,-294040000.00000000000,0.12000,1.12000
,,,-294000000.00000000000,0.12000,1.08000
,,,-293960000.00000000000,0.00,1.08000
,,,-293920000.00000000000,0.20000,1.12000
,,,-293880000.00000000000,0.12000,1.12000
,,,-293840000.00000000000,0.08000,1.12000
,,,-293800000.00000000000,0.08000,1.12000
,,,-293760000.00000000000,0.04000,1.08000
,,,-293720000.00000000000,0.24000,1.08000
,,,-293680000.00000000000,0.08000,1.08000
,,,-293640000.00000000000,0.12000,1.08000
,,,-293600000.00000000000,0.08000,1.08000
,,,-293560000.00000000000,0.12000,1.08000
,,,-293520000.00000000000,0.12000,1.08000
,,,-293480000.00000000000,0.12000,1.08000
,,,-293440000.00000000000,0.12000,1.08000
,,,-293400000.00000000000,0.12000,1.08000
,,,-293360000.00000000000,0.24000,1.12000
,,,-293320000.00000000000,0.16000,1.08000
,,,-293280000.00000000000,0.12000,1.12000
,,,-293240000.00000000000,0.12000,1.08000
,,,-293200000.00000000000,0.08000,1.12000
,,,-293160000.00000000000,0.24000,1.12000
,,,-293120000.00000000000,0.12000,1.08000
,,,-293080000.00000000000,0.12000,1.12000
,,,-293040000.00000000000,0.08000,1.08000
,,,-293000000.00000000000,0.08000,1.08000
,,,-292960000.00000000000,0.20000,1.12000
,,,-292920000.00000000000,0.08000,1.08000
,,,-292880000.00000000000,0.08000,1.08000
,,,-292840000.00000000000,0.08000,1.12000
,,,-292800000.00000000000,0.08000,1.08000
,,,-292760000.00000000000,0.24000,1.08000
,,,-292720000.00000000000,0.12000,1.12000
,,,-292680000.00000000000,0.12000,1.08000
,,,-292640000.00000000000,0.12000,1.12000
,,,-292600000.00000000000,0.12000,1.12000
,,,-292560000.00000000000,0.24000,1.08000
,,,-292520000.00000000000,0.12000,1.08000
,,,-292480000.00000000000,0.16000,1.08000
,,,-292440000.00000000000,0.12000,1.12000
,,,-292400000.00000000000,0.12000,1.12000
,,,-292360000.00000000000,0.24000,1.08000
,,,-292320000.00000000000,0.12000,1.08000
,,,-292280000.00000000000,0.12000,1.08000
,,,-292240000.00000000000,0.12000,1.12000
,,,-292200000.00000000000,0.12000,1.12000
,,,-292160000.00000000000,0.24000,1.08000
,,,-292120000.00000000000,0.12000,1.12000
,,,-292080000.00000000000,0.12000,1.12000
,,,-292040000.00000000000,0.12000,1.12000
,,,-292000000.00000000000,0.20000,1.08000
,,,-291960000.00000000000,0.08000,1.12000
,,,-291920000.00000000000,0.08000,1.08000
,,,-291880000.00000000000,0.04000,1.08000
,,,-291840000.00000000000,0.12000,1.12000
,,,-291800000.00000000000,0.20000,1.12000
,,,-291760000.00000000000,0.08000,1.08000
,,,-291720000.00000000000,0.12000,1.08000
,,,-291680000.00000000000,0.08000,1.08000
,,,-291640000.00000000000,0.08000,1.08000
,,,-291600000.00000000000,0.24000,1.08000
,,,-291560000.00000000000,0.12000,1.12000
,,,-291520000.00000000000,0.16000,1.12000
,,,-291480000.00000000000,0.12000,1.08000
,,,-291440000.00000000000,0.08000,1.08000
,,,-291400000.00000000000,0.24000,1.12000
,,,-291360000.00000000000,0.12000,1.04000
,,,-291320000.00000000000,0.12000,1.08000
,,,-291280000.00000000000,0.12000,1.08000
,,,-291240000.00000000000,0.12000,1.12000
,,,-291200000.00000000000,0.28000,1.04000
,,,-291160000.00000000000,0.12000,1.12000
,,,-291120000.00000000000,0.08000,1.12000
,,,-291080000.00000000000,0.04000,1.08000
,,,-291040000.00000000000,0.08000,1.12000
,,,-291000000.00000000000,0.24000,1.08000
,,,-290960000.00000000000,0.12000,1.08000
,,,-290920000.00000000000,0.08000,1.08000
,,,-290880000.00000000000,0.08000,1.08000
,,,-290840000.00000000000,0.04000,1.08000
,,,-290800000.00000000000,0.28000,1.08000
,,,-290760000.00000000000,0.12000,1.12000
,,,-290720000.00000000000,0.08000,1.08000
,,,-290680000.00000000000,0.12000,1.08000
,,,-290640000.00000000000,0.00,1.12000
,,,-290600000.00000000000,0.12000,1.08000
,,,-290560000.00000000000,0.12000,1.08000
,,,-290520000.00000000000,0.12000,1.12000
,,,-290480000.00000000000,0.12000,1.08000
,,,-290440000.00000000000,0.24000,1.08000
,,,-290400000.00000000000,0.16000,1.08000
,,,-290360000.00000000000,0.12000,1.08000
,,,-290320000.00000000000,0.12000,1.12000
,,,-290280000.00000000000,0.08000,1.08000
,,,-290240000.00000000000,0.24000,1.08000
,,,-290200000.00000000000,0.08000,1.12000
,,,-290160000.00000000000,0.12000,1.12000
,,,-290120000.00000000000,0.12000,1.12000
,,,-290080000.00000000000,0.12000,1.12000
,,,-290040000.00000000000,0.12000,1.12000
,,,-290000000.00000000000,0.08000,1.12000
,,,-289960000.00000000000,0.16000,1.08000
,,,-289920000.00000000000,0.12000,1.08000
,,,-289880000.00000000000,0.12000,1.08000
,,,-289840000.00000000000,0.08000,1.12000
,,,-289800000.00000000000,0.04000,1.08000
,,,-289760000.00000000000,0.24000,1.08000
,,,-289720000.00000000000,0.08000,1.08000
,,,-289680000.00000000000,0.08000,1.12000
,,,-289640000.00000000000,0.08000,1.08000
,,,-289600000.00000000000,0.08000,1.08000
,,,-289560000.00000000000,0.20000,1.12000
,,,-289520000.00000000000,0.12000,1.12000
,,,-289480000.00000000000,0.08000,1.08000
,,,-289440000.00000000000,0.12000,1.08000
,,,-289400000.00000000000,0.12000,1.12000
,,,-289360000.00000000000,0.24000,1.08000
,,,-289320000.00000000000,0.16000,1.08000
,,,-289280000.00000000000,0.16000,1.08000
,,,-289240000.00000000000,0.12000,1.08000
,,,-289200000.00000000000,0.04000,1.08000
,,,-289160000.00000000000,0.24000,1.12000
,,,-289120000.00000000000,0.12000,1.08000
,,,-289080000.00000000000,0.12000,1.08000
